Vacancy,Employer,Location
 Magento დეველოპერი ,Affiliate Marketing კომპანია, თბილისი 
 ქოლ-ცენტრის ოპერატორი ,ORGANIC SPA & ESTHETICS, თბილისი 
 პედაგოგი/პედაგოგის დამხმარე ,ამერიკული კერძო საბავშვო ბაღი, თბილისი 
 ქოლცენტრის ოპერატორი ,ნეტმარტი, თბილისი 
 დამლაგებელი ,ბოდილაინი, თბილისი 
 სლოტ - მიმტანი/ ბარმენი ,სლოტ კლუბი 777," თბილისი, "
 მეშაურმე ,კუთხე, თბილისი 
 რეცეფციონისტი-ადმინისტრატორი/ადმინისტრაციული ასისტენტი ,ციფრული ტექნოლოგიები, თბილისი 
 ესთეტიკური ცენტრის  მედდა ,AM Clinic Batumi, ბათუმი 
 ინგლისური ენის პედაგოგი-აღმზრდელი ,ოჯახი, თბილისი 
 პარტნიორი მძღოლი ,Bolt, თბილისი 
 გაყიდვების წარმომადგენელი/მენეჯერი ,ესპანო, თბილისი 
 საწყობის თანამშრომელი/მუშა ,ესპანო, თბილისი 
 საცალო გაყიდვების მენეჯერი ,დაზღვევის საერთაშორისო კომპანია - ირაო, თბილისი 
 მოლარე-ოპერატორი სოფელ ხუცუბანში ,Legi," ქობულეთი, "
 მიწოდების ჯაჭვის სპეციალისტი ,ბრედფილდი, თბილისი 
 კონსულტანტი ,აი-თიმ, თბილისი 
 ჰორეკას პრისეილერი ,Agro Food Trade, თბილისი 
 Architect / 3D Artist ,რუმ დიზაინ სტუდიო, თბილისი 
 ფარმაცევტული წარმოების მთავარი ტექნოლოგი ,კავკასიის ფარმაცევტული საწარმო, თელავი 
 მზარეული ,რესტორანი ადრე, თბილისი 
 რეზერვაციის მენეჯერი ,რუსტარ ონლაინი, თბილისი 
 Technical Writer ,GEO TELEMEDICINE, თბილისი 
 ელ. მემონტაჟე/სპეციალისტი ,ლაინნეტი, თბილისი 
 ქოფირაითერი ,Veli.store, თბილისი 
 ღამის ცვლის მზარეული ,SKA Juice Bar, თბილისი 
 სისტემების და ქსელების უმცროსი სპეციალისტი ,EGT Georgia, თბილისი 
 პროფილაქტიკის უმცროსი ტექნიკოსი ,EGT Georgia," თბილისი, "
 ტექნიკოსი ,EGT Georgia," თბილისი, "
 სტაციონარული სერვისის უმცროსი ტექნიკოსი ,EGT Georgia, თბილისი 
 მოლარე-კონსულტანტი ,აქსიმპორტი, თბილისი 
 Strategic Account Manager ,Glovo, თბილისი 
 მზარეული ,რესტორანი ფუნიკულიორი, თბილისი 
 მიმტანი ,რესტორანი ფუნიკულიორი, თბილისი 
 კონდიტერი ,რესტორანი ფუნიკულიორი, თბილისი 
 Фахівець з обклеювання кольорової атомобільної плівки/Фахівець з обклеювання антигравійної прозорої ,ფასტ ენდ შაინ ვაკე, თბილისი 
